trade_date,expiry,strike,option_type,price,price_sig_rv21,err_sig_rv21,tenor_bucket,mny_bucket,S,T,r_cont,moneyness
2025-10-13,2025-10-21,663.0,call,6.25,4.719025750840331,-1.5309742491596694,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9999397049519356
2025-10-13,2025-10-21,664.0,call,5.619999999999999,4.225248977347462,-1.394751022652537,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.001447909635121
2025-10-13,2025-10-21,665.0,call,5.07,3.766653853040566,-1.3033461469594343,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0029561143183066
2025-10-13,2025-10-21,666.0,call,4.550000000000001,3.342869518071666,-1.2071304819283348,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.004464319001492
2025-10-13,2025-10-21,667.0,call,4.050000000000001,2.953262371539637,-1.0967376284603638,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0059725236846773
2025-10-13,2025-10-21,668.0,call,3.56,2.5969517368426125,-0.9630482631573876,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0074807283678628
2025-10-13,2025-10-21,669.0,call,3.1,2.272830745560384,-0.8271692544396161,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0089889330510482
2025-10-13,2025-10-21,670.0,call,2.6950000000000003,1.9795916255130805,-0.7154083744869197,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0104971377342336
2025-10-13,2025-10-21,671.0,call,2.315,1.7157544448282351,-0.5992455551717648,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0120053424174191
2025-10-13,2025-10-21,672.0,call,1.9849999999999999,1.4796982789756044,-0.5053017210243955,"(7.0, 30.0]","(1.0, 1.1]",663.0399780273438,0.021917808219178082,0.037767734335115676,1.0135135471006045
